ID,HH_ID,HH_WEIGHT,TOT_VEH,OP_VEH,VEH_NUM,VEH_ID,VEH_OWN,YEAR,MAKE,MODEL,BODY,VEH_TYPE
3298,381677,43.55954031,2,2,1,38167701,1,2011,39,PRIUS,1,1
3299,381677,43.55954031,2,2,2,38167702,1,2005,14,CRV,2,2
3300,381682,79.65068565,2,2,1,38168201,1,2000,14,ACCORD,1,2
3301,381682,79.65068565,2,2,2,38168202,1,2001,22,,1,2
3302,381703,338.7326721,2,2,1,38170301,1,2008,6,EQUINOX,2,2
3303,381703,338.7326721,2,2,2,38170302,1,1997,39,CAMRY,1,2
3304,381836,69.05573187,3,3,1,38183601,1,2009,39,SIENNA,9,2
3305,381836,69.05573187,3,3,2,38183602,1,2008,16,G37,4,2
3306,381836,69.05573187,3,3,3,38183603,1,2006,4,CENTURY,1,2
3307,381890,150.6577608,1,1,1,38189001,1,1995,14,CIVIC,1,2
3308,381950,198.9211638,2,2,1,38195001,1,2006,39,,2,2
3309,381950,198.9211638,2,2,2,38195002,1,2000,29,ALTIMA,1,2
3310,382090,81.28785454,2,2,1,38209001,1,2008,39,AVALON,1,2
3311,382090,81.28785454,2,2,2,38209002,1,2001,39,AVALON,1,2
3312,382139,505.8129734,1,1,1,38213901,1,2008,15,ELANTRA,1,2
3313,382181,74.1485655,5,5,1,38218101,1,2011,29,XTERRA,2,2
3314,382181,74.1485655,5,5,2,38218102,1,1996,10,MUSTANG,5,2
3315,382181,74.1485655,5,5,3,38218103,1,1992,6,C2 2500,3,2
3316,382181,74.1485655,5,5,4,38218104,1,1993,14,NIGHT HAWK,12,2
3317,382181,74.1485655,5,5,5,38218105,1,1993,14,ST 1100,12,2
3318,382222,164.3404867,1,1,1,38222201,1,2003,7,PT CRUISER,1,2
3319,382287,130.4117074,3,3,1,38228701,1,2011,39,RAV 4,2,2
3320,382287,130.4117074,3,3,2,38228702,1,2009,39,COROLLA,1,2
3321,382287,130.4117074,3,3,3,38228703,1,2002,39,tacoma,3,2
3322,382315,185.5419453,2,2,1,38231501,1,2003,14,CRV,2,2
3323,382315,185.5419453,2,2,2,38231502,1,2013,10,,1,1
3324,382393,97.97070245,2,2,1,38239301,1,1998,8,1500,3,2
3325,382393,97.97070245,2,2,2,38239302,1,1996,8,1500,3,2
3326,382596,274.1580544,2,1,1,38259601,1,9998,29,ALTIMA,1,1
3327,382673,933.8711112,1,1,1,38267301,1,2004,14,ACCORD,98,2
3328,382765,387.7939189,2,2,1,38276501,1,2008,14,ODYSSEY,8,2
3329,382765,387.7939189,2,2,2,38276502,2,2012,14,CIVIC,1,2
3330,382830,409.1648356,1,1,1,38283001,1,1999,6,VENTURE,9,2
3331,382878,136.6598149,1,1,1,38287801,1,2006,22,ES330,1,2
3332,382905,199.6721763,3,2,1,38290501,1,2008,7,SEBRING,5,2
3333,382905,199.6721763,3,2,2,38290502,1,2005,12,SIERRA,3,2
3334,383024,117.8572853,1,1,1,38302401,1,1998,4,CENTURY,1,2
3335,383052,340.4716394,1,1,1,38305201,1,2008,21,SEDONA,8,2
3336,383068,503.3566184,1,1,1,38306801,1,2011,24,2,6,2
3337,383100,305.935367,3,3,1,38310001,1,2011,14,CRV,2,2
3338,383100,305.935367,3,3,2,38310002,1,2009,14,ACCORD,1,2
3339,383100,305.935367,3,3,3,38310003,1,2001,14,ACCORD,1,2
3340,383166,110.4828089,4,3,1,38316601,1,2008,2,A4,1,2
3341,383166,110.4828089,4,3,2,38316602,1,2009,37,OUTBACK,6,2
3342,383166,110.4828089,4,3,3,38316603,1,2000,38,drz,12,2
3343,383186,105.0254808,2,2,1,38318601,1,2005,7,LAREDO,2,2
3344,383186,105.0254808,2,2,2,38318602,2,2011,7,LAREDO,2,2
3345,383310,331.6047336,1,1,1,38331001,1,2012,15,ELANTRA,1,2
