ID,HH_ID,PERSON_NUM,PERSON_ID,HH_WEIGHT,P_WEIGHT,P_TOT_TRIPS,P_MO_TRIPS,P_NM_TRIPS,GPS_Factor,F_P_TOT_TRIPS,F_P_MO_TRIPS,F_P_NM_TRIPS,GEND,AGECAT,RACE,EDUCA,RELAT,LIC,EMPLY,WK_STAT,SEMPLY,JOBS,WK_LOC,W_GEO_ACC,W_STATE,W_REGION,W_COUNTY,W_CPA,W_MCD,W_TRACT,W_TAZ,HOURS,OCCUP,WK_MODE,WK_MODETMS,ARRV_WRK,ARRV_TMS,LV_WRK,LV_TMS,TCOMM,PARK_SUB,PARK_SUB_AMT,TRAN_SUB,TRAN_SUB_AMT,WDAY_1,WDAY_2,WDAY_3,WDAY_4,WDAY_5,WDAY_6,WDAY_7,STUDE,SCHOL,S_HOME,S_ONLN,S_GEO_ACC,S_STATE,S_REGION,S_COUNTY,S_CPA,S_MCD,S_TRACT,S_TAZ,PRESCH_1,PRESCH_2,PRESCH_3,T_TRIP,PAY_TYPE1,PAY_TYPE2,PAY_TYPE3,TAP
2449,338487,1,33848701,144.6469764,105.6429691,8,8,0,1.12,8.96,8.96,0,2,7,1,5,0,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,42,1,42029,029_313,4202921008,42029301300,8404,,,,0,,,,
2450,338487,2,33848702,144.6469764,97.32904659,4,4,0,1.12,4.48,4.48,0,1,7,1,6,1,1,1,,2,1,2,1,42,1,42029,029_313,4202921008,42029301300,8401,50,25,,,,,,,,,,,,1,2,3,4,5,,,3,,,,1,42,1,42029,029_313,4202921008,42029301300,8404,,,,0,,,,
2451,338487,3,33848703,144.6469764,99.94132398,4,4,0,1.12,4.48,4.48,0,2,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,,1,42,1,42029,029_313,4202921008,42029301300,8404,,,,,,,,
2452,338487,4,33848704,144.6469764,79.99369476,4,4,0,1.12,4.48,4.48,0,1,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,,1,42,1,42029,029_313,4202921008,42029301300,8404,,,,,,,,
2453,338487,5,33848705,144.6469764,79.99369476,7,7,0,1.12,7.84,7.84,0,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,1,42,1,42029,029_313,4202954936,42029301401,8424,5,,,,,,,
2454,338558,1,33855801,159.1000433,107.4752957,4,4,0,1.12,4.48,4.48,0,2,8,1,4,0,1,1,,2,99,1,1,34,1,34015,015_901,3401517710,34015501101,24012,40,43,1,10,4,10,1,10,0,3,,2,,1,2,3,4,5,,,3,,,,,,,,,,,,,,,0,,,,
2455,338577,1,33857701,380.2861197,175.4424783,0,0,0,1.17,0,0,0,2,8,1,5,0,1,1,,1,2,1,1,42,1,42091,091_410,4209135808,42091200502,11812,40,99,9,,9,,9,,0,9,,8,,1,2,3,4,5,,,3,,,,,,,,,,,,,,,0,,,,
2456,338577,2,33857702,380.2861197,117.8567002,2,2,0,1.17,2.34,2.34,0,1,8,1,2,1,1,2,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,0,,,,
2457,338608,1,33860801,80.9338842,102.9954575,2,2,0,1.12,2.24,2.24,0,2,10,1,5,0,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,0,,,,
2458,338608,2,33860802,80.9338842,132.940876,4,4,0,1.12,4.48,4.48,0,1,10,1,5,1,1,1,,2,1,1,1,42,1,42091,091_409,4209133112,42091200800,11609,40,53,1,10,2,10,9,,0,3,,8,,1,2,3,4,5,,,3,,,,,,,,,,,,,,,0,,,,
2459,338690,1,33869001,158.6403374,102.8487146,2,2,0,1.12,2.24,2.24,0,2,9,1,6,0,1,1,,2,1,1,1,10,2,10003,,1000393108,10003013607,58018,50,43,1,10,7,8,7,9,2,3,,8,,1,2,3,4,5,,,3,,,,,,,,,,,,,,,0,,,,
2460,338690,2,33869002,158.6403374,172.3830813,6,6,0,1.12,6.72,6.72,0,1,11,1,6,3,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,0,,,,
2461,338690,3,33869003,158.6403374,802.1347189,0,0,0,1.12,0,0,0,1,6,1,6,2,1,1,,2,1,1,1,42,1,42029,029_307,4202979480,42029304406,7223,40,41,1,10,9,,9,,0,3,,8,,1,2,3,4,5,,,3,,,,,,,,,,,,,,,0,,,,
2462,338690,4,33869004,158.6403374,164.9605601,2,2,0,1.12,2.24,2.24,0,1,5,1,2,2,1,1,,2,1,1,1,10,2,10003,,1000392960,10003013503,58011,40,41,1,10,9,,9,,0,3,,8,,2,3,4,5,6,,,3,,,,,,,,,,,,,,,0,,,,
2463,338744,1,33874401,70.38257268,89.93332932,6,6,0,1.17,7.02,7.02,0,2,9,1,6,0,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,0,,,,
2464,338870,1,33887001,156.9272881,162.8214796,6,6,0,1.17,7.02,7.02,0,2,8,1,2,0,1,1,,2,1,1,1,42,1,42091,091_413,4209184624,42091203106,12420,40,11,1,10,5,8,5,7,0,3,,2,,1,2,3,4,5,,,3,,,,,,,,,,,,,,,0,,,,
2465,338870,2,33887002,156.9272881,173.5371404,0,0,0,1.17,0,0,0,1,8,1,1,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,0,,,,
2466,338889,1,33888901,116.0544797,81.78376853,2,2,0,1.17,2.34,2.34,0,2,10,2,2,0,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,0,,,,
2467,338904,1,33890401,124.9184848,84.59477782,6,6,0,1.13,6.78,6.78,0,2,9,1,5,0,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,0,,,,
2468,338904,2,33890402,124.9184848,93.37332465,4,4,0,1.13,4.52,4.52,0,1,10,1,6,1,1,1,,2,3,2,1,42,1,42091,091_401,4209144976,42091204600,10025,998,11,,,,,,,,,,,,98,,,,,,,3,,,,,,,,,,,,,,,2,1,,,
2469,338935,1,33893501,352.520661,201.6261625,0,0,0,1.17,0,0,0,1,7,2,5,0,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,20,4,,,
2470,339063,1,33906301,85.84783259,314.8785536,2,2,0,1.12,2.24,2.24,0,1,8,1,5,0,1,1,,2,1,1,1,42,1,42101,101_103,4210160000,42101000402,82,40,13,3,10,5,10,4,10,1,2,,2,,1,2,3,4,,,,3,,,,,,,,,,,,,,,0,,,,
2471,339066,1,33906601,90.57831904,105.6584362,4,4,0,1.12,4.48,4.48,0,1,11,1,6,0,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,0,,,,
2472,339066,2,33906602,90.57831904,91.36579322,2,2,0,1.12,2.24,2.24,0,2,11,1,6,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,0,,,,
2473,339066,3,33906603,90.57831904,106.5355611,0,0,0,1.12,0,0,0,2,8,1,6,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,0,,,,
2474,339146,1,33914601,250.5806546,86.81888216,5,5,0,1.17,5.85,5.85,0,2,9,1,3,0,1,1,,2,3,1,1,42,1,42101,101_117,4210160000,42101023700,2417,6,39,1,10,7,10,1,10,0,3,,2,,4,,,,,,,2,97,,1,6,42,1,42045,045_206,4204554224,42045409902,5037,,,,0,,,,
2475,339297,1,33929701,86.49673823,88.99742063,2,2,0,1.17,2.34,2.34,0,2,10,1,5,0,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,0,,,,
2476,339301,1,33930101,146.843011,330.6168555,0,0,0,1.17,0,0,0,2,10,2,3,0,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,0,,,,
2477,339382,1,33938201,172.5817141,115.5038913,0,0,0,1.12,0,0,0,1,8,1,5,0,1,1,,2,2,2,1,42,1,42017,017_512,4201708768,42017100402,16222,45,15,,,,,,,,,,,,1,2,3,4,,,,3,,,,,,,,,,,,,,,0,,,,
2478,339382,2,33938202,172.5817141,103.6029133,4,4,0,1.12,4.48,4.48,0,2,8,1,5,8,1,1,,2,1,1,1,34,1,34021,021_602,3402129310,34021002602,18219,45,29,1,10,8,10,8,10,0,3,,2,,1,2,3,4,5,,,3,,,,,,,,,,,,,,,0,,,,
2479,339382,3,33938203,172.5817141,128.2125496,0,0,0,1.12,0,0,0,1,6,3,5,8,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,0,,,,
2480,339409,1,33940901,458.7122574,402.480853,2,2,0,1.17,2.34,2.34,0,1,6,1,5,0,1,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,,1,6,42,1,42101,101_108,4210160000,42101020600,3204,,,,6,1,,,
2481,339424,1,33942401,97.53164027,91.65995373,2,2,0,1.13,2.26,2.26,0,1,9,1,5,0,1,1,,2,1,1,2,42,1,42029,029_310,4202922056,42029302101,7817,40,11,9,,9,,9,,0,9,,8,,1,2,3,4,5,,,3,,,,,,,,,,,,,,,0,,,,
2482,339424,2,33942402,97.53164027,92.15148928,4,4,0,1.13,4.52,4.52,0,2,8,1,5,1,1,1,,2,1,1,2,42,1,42091,091_403,4209183696,42091203402,10434,40,41,1,10,6,5,5,8,2,3,,2,,1,2,3,4,5,,,3,,,,,,,,,,,,,,,0,,,,
2483,339497,1,33949701,97.34688475,79.42133413,6,6,0,1.17,7.02,7.02,0,2,9,1,6,0,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,0,,,,
2484,339507,1,33950701,100.5581242,82.68327466,2,2,0,1.15,2.3,2.3,0,2,9,1,5,0,1,1,,2,1,3,1,34,1,34005,005_701,3400517080,34005700800,20042,40,13,1,10,5,8,5,7,5,3,,2,,1,2,3,4,5,,,3,,,,,,,,,,,,,,,0,,,,
2485,339507,2,33950702,100.5581242,82.71894093,2,2,0,1.15,2.3,2.3,0,1,10,1,6,1,1,1,,2,1,1,1,42,1,42091,091_409,4209141432,42091200903,11613,40,17,1,10,4,10,4,10,0,3,,2,,1,2,3,4,5,,,3,,,,,,,,,,,,,,,0,,,,
2486,339572,1,33957201,64.20478781,205.0517431,6,6,0,1.15,6.9,6.9,0,1,8,1,6,0,1,1,,2,1,1,1,42,1,42045,045_206,4204563264,42045409701,5055,40,29,1,10,5,9,5,10,0,3,,8,,1,2,3,4,5,,,3,,,,,,,,,,,,,,,0,,,,
2487,339593,1,33959301,72.39699519,83.48645738,3,3,0,1.17,3.51,3.51,0,1,10,1,6,0,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,0,,,,
2488,339593,2,33959302,72.39699519,82.73986803,2,2,0,1.17,2.34,2.34,0,2,10,1,2,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,0,,,,
2489,339639,1,33963901,40.65175876,77.31250438,0,0,0,1.17,0,0,0,1,9,1,4,0,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,0,,,,
2490,339659,1,33965901,352.5548795,236.0306347,2,0,2,1.15,2.3,0,2.3,1,8,1,6,0,1,1,,2,1,1,1,36,3,36061,,3606144919,,,40,15,3,,8,9,6,9,2,1,8,1,8,1,3,5,,,,,3,,,,,,,,,,,,,,,6,10,,,
